ds,y
2007/12/10,0.841470985
2007/12/11,0.89120736
2007/12/12,0.932039086
2007/12/13,0.963558185
2007/12/14,0.98544973
2007/12/15,0.997494987
2007/12/16,0.999573603
2007/12/17,0.99166481
2007/12/18,0.973847631
2007/12/19,0.946300088
2007/12/20,0.909297427
2007/12/21,0.863209367
2007/12/22,0.808496404
2007/12/23,0.745705212
2007/12/24,0.675463181
2007/12/25,0.598472144
2007/12/26,0.515501372
2007/12/27,0.42737988
2007/12/28,0.33498815
2007/12/29,0.239249329
2007/12/30,0.141120008
2007/12/31,0.041580662
2008/1/1,-0.058374143
2008/1/2,-0.157745694
2008/1/3,-0.255541102
2008/1/4,-0.350783228
2008/1/5,-0.442520443
2008/1/6,-0.529836141
2008/1/7,-0.611857891
2008/1/8,-0.687766159
2008/1/9,-0.756802495
2008/1/10,-0.818277111
2008/1/11,-0.871575772
2008/1/12,-0.916165937
2008/1/13,-0.951602074
2008/1/14,-0.977530118
2008/1/15,-0.993691004
2008/1/16,-0.999923258
2008/1/17,-0.996164609
2008/1/18,-0.982452613
2008/1/19,-0.958924275
2008/1/20,-0.925814682
2008/1/21,-0.883454656
2008/1/22,-0.832267442
2008/1/23,-0.772764488
2008/1/24,-0.705540326
2008/1/25,-0.631266638
2008/1/26,-0.550685543
2008/1/27,-0.464602179
2008/1/28,-0.373876665
2008/1/29,-0.279415498
2008/1/30,-0.182162504
2008/1/31,-0.083089403
2008/2/1,0.0168139
2008/2/2,0.116549205
2008/2/3,0.215119988
2008/2/4,0.311541364
2008/2/5,0.404849921
2008/2/6,0.494113351
2008/2/7,0.578439764
2008/2/8,0.656986599
2008/2/9,0.72896904
2008/2/10,0.793667864
2008/2/11,0.850436621
2008/2/12,0.898708096
2008/2/13,0.937999977
2008/2/14,0.967919672
2008/2/15,0.988168234
2008/2/16,0.998543345
2008/2/17,0.998941342
2008/2/18,0.989358247
2008/2/19,0.969889811
2008/2/20,0.940730557
2008/2/21,0.902171834
2008/2/22,0.854598908
2008/2/23,0.798487113
2008/2/24,0.734397098
2008/2/25,0.66296923
2008/2/26,0.584917193
2008/2/27,0.501020856
2008/2/28,0.412118485
2008/2/29,0.319098362
2008/3/1,0.222889914
2008/3/2,0.124454424
2008/3/3,0.024775425
2008/3/4,-0.07515112
2008/3/5,-0.174326781
2008/3/6,-0.271760626
2008/3/7,-0.366479129
2008/3/8,-0.457535894
2008/3/9,-0.544021111
2008/3/10,-0.625070649
2008/3/11,-0.699874688
2008/3/12,-0.76768581
2008/3/13,-0.827826469
2008/3/14,-0.87969576
2008/3/15,-0.922775422
2008/3/16,-0.956635016
2008/3/17,-0.98093623
2008/3/18,-0.995436253
2008/3/19,-0.999990207
2008/3/20,-0.994552588
2008/3/21,-0.979177729
2008/3/22,-0.95401925
2008/3/23,-0.919328526
2008/3/24,-0.875452175
2008/3/25,-0.822828595
2008/3/26,-0.761983584
2008/3/27,-0.693525085
2008/3/28,-0.618137112
2008/3/29,-0.536572918
2008/3/30,-0.449647465
2008/3/31,-0.358229282
2008/4/1,-0.263231791
2008/4/2,-0.165604175
2008/4/3,-0.066321897
2008/4/4,0.033623047
2008/4/5,0.133232041
2008/4/6,0.231509825
2008/4/7,0.327474439
2008/4/8,0.420167037
2008/4/9,0.508661464
2008/4/10,0.592073515
2008/4/11,0.669569762
2008/4/12,0.74037589
2008/4/13,0.803784427
2008/4/14,0.859161815
2008/4/15,0.905954742
2008/4/16,0.943695669
2008/4/17,0.972007501
2008/4/18,0.990607356
2008/4/19,0.999309389
2008/4/20,0.998026653
2008/4/21,0.986771964
2008/4/22,0.965657777
2008/4/23,0.934895056
2008/4/24,0.894791172
2008/4/25,0.845746831
2008/4/26,0.788252067
2008/4/27,0.72288135
2008/4/28,0.65028784
